subj_idx,SS_CP,SS_US,SS_CS
17991,3.62913118023,3.33500058186,3.33500058186
18288,3.33500058186,3.96195987,3.66782927163
18325,3.96195987,4.25609046837,4.25609046837
18333,3.09546680029,4.25609046837,4.25609046837
18334,4.25609046837,4.25609046837,4.25609046837
18350,3.33500058186,3.96195987,3.96195987
18547,3.33500058186,3.33500058186,3.62913118023
18619,3.66782927163,3.96195987,3.96195987
18864,3.11546620136,3.96195987,3.96195987
18919,3.40959679973,4.25609046837,3.96195987
18977,2.80133620192,3.96195987,3.66782927163
18978,3.66782927163,3.96195987,3.66782927163
18979,3.96195987,4.25609046837,4.25609046837
18988,3.23881685082,3.96195987,4.25609046837
19686,3.23881685082,4.25609046837,3.96195987
19687,3.09546680029,4.25609046837,3.96195987
