rt,response,stim
2.4512633636236387,1,2
1.18735081395198,1,1
1.2590923631187252,1,3
1.6991102252864039,1,4
1.0747144389224559,1,1
1.0452650363113207,1,1
1.1684425454263874,1,4
1.1043389724582084,1,1
1.1543610957191959,1,1
1.474297757495151,1,4
1.4988657792455342,1,2
0.9227490303092054,1,1
1.2929393460972278,1,2
1.6773387458683828,1,2
1.356698573619724,1,3
1.6131281121852226,1,2
1.6206319541875018,1,1
2.4685545022207407,1,2
1.5810709507086358,1,4
1.036619945257371,1,1
2.5351076492470384,0,2
1.3195649253557349,1,4
1.1590146665153043,1,3
1.215337105598337,1,3
1.1673784051149596,1,1
1.6868692699995336,1,3
1.3511129122816783,0,2
1.198768165123056,1,3
1.3189391522596452,1,2
1.0709707037322005,1,3
1.0813238784971873,1,3
1.323848668366736,1,4
1.0924120527106425,1,1
1.3424434638177445,1,4
1.2543379126996115,1,4
1.6467513426623555,1,3
1.3343205140718055,1,4
1.3907808862404636,1,2
1.4221795764974559,1,4
1.622097474425118,1,3
1.0305463356271503,1,1
1.6006016536384777,1,4
1.2326766762807893,1,1
1.2326387956645704,1,4
0.9044590694443286,1,1
1.3071337548753945,1,3
0.9711064277335026,1,1
0.9015778957887051,1,4
0.8962703625102222,1,1
1.1153374321152114,1,2
1.109491124226679,1,1
1.6244768366982498,1,2
1.1040401595482763,1,4
1.3546251227362518,1,3
1.2751810192535231,1,2
1.0831274487918563,1,1
1.0851304893740235,1,2
1.0878912655944077,1,1
1.5389312831071038,0,2
1.370743045060408,1,2
1.0503686988463414,1,1
1.3093640400506956,1,3
1.1009325082968644,1,3
1.58367754855135,1,2
1.1758399974601161,1,3
1.0715670782938105,1,4
1.0906385125945235,1,2
1.1570290984195708,1,2
1.6366636901398124,1,3
2.180596852472263,1,3
1.5566133674665252,1,4
1.1810804621363786,1,4
0.9490283451250434,1,1
1.159589315518133,1,3
0.9990401725826814,1,3
1.1620777477364754,1,4
1.081655296288318,1,4
1.2127085325464577,1,3
1.3961218756162452,1,2
1.604126737606748,1,4
1.1000090893294328,1,1
1.1430769613557459,1,4
1.4711903318302575,1,4
1.22265569833462,1,1
1.1990032030053044,1,3
1.5429644227137942,1,4
1.1183984710196455,1,1
2.000934147564294,0,2
2.8733016008345658,1,1
1.4895156978668638,1,1
1.1773359689723293,1,2
0.9692646760399839,1,1
1.3795623346113643,1,4
1.0675349643574918,1,2
1.1584280674019283,1,1
1.1819870312378953,1,2
0.846290929386214,1,1
1.1931626099944879,1,2
2.1609560569349924,1,2
1.1128083550843257,1,3
0.9636110678129626,1,1
0.9741936137074845,1,3
0.992404116716898,0,2
1.3390892847710347,1,2
1.5869313623129528,1,3
1.6274621534730613,1,4
1.25126147370338,1,3
1.1152437231594376,1,3
1.2773974443466614,1,2
1.7334597746130385,1,3
1.1658990819432802,1,4
1.445596510582618,1,4
1.653597988763977,1,2
1.341565138243368,1,3
1.1416137120304484,1,4
1.0558608226751858,1,3
0.9784513450017585,1,3
1.5092609643775177,1,4
1.0849882490747405,1,1
1.1435711990216078,1,4
