rt,response,stim
2.168937662090684,0,2
1.4090878682955008,1,1
0.944950836519638,1,3
1.4280922139860195,1,4
0.9556039867520667,1,1
1.6546325874951435,1,1
1.1106437373000517,1,4
1.1606029774475246,1,1
1.2805890159615956,1,1
1.7446202973769687,1,4
1.3929207111250435,1,2
1.4004754942916406,1,1
1.4004819702158784,1,2
1.6482817426203837,1,2
1.6242854793854349,1,3
1.6486693265069334,1,2
0.8640997587026504,1,1
1.4267562276081662,1,2
1.2351213056790584,1,4
0.9145526038046228,1,1
1.1651051792023281,1,2
0.9730909329709903,1,4
0.9916700122985276,1,3
0.9786006958183862,1,3
0.9253274641068856,1,1
1.2158724449900546,1,3
1.1439171207421168,1,2
1.3598364800009222,1,3
1.1196925699159692,1,2
1.4338733941367536,1,3
1.4658227384234124,1,3
1.0501843718257078,1,4
0.8842645369904858,1,1
0.9748647495453042,1,4
1.2340167531147017,1,4
1.2094479857360056,1,3
1.0978411639089245,1,4
1.2599002473125438,1,2
1.0359112283431386,1,4
1.2464505237021513,1,3
0.9909007429423582,1,1
1.4895601572106898,1,4
0.9775355823212521,1,1
1.156117526469643,1,4
1.3159836058239307,1,1
1.2918645978161294,1,3
0.9793158988823052,1,1
1.293916274530602,1,4
0.9903274507378228,1,1
1.0408535041578943,1,2
1.0030308399282148,1,1
1.0620158514257128,1,2
1.1519347595049112,1,4
2.3846458033658564,0,3
1.2720957081173765,1,2
2.4186400266025885,1,1
1.9200237089589791,0,2
0.9444068980265001,1,1
1.0431152017272325,1,2
1.2295800565480022,1,2
1.0855468978925273,1,1
1.1836515209752179,1,3
1.2076741631462937,1,3
1.4476217622059266,1,2
1.5360211111701574,1,3
0.991967992019454,1,4
1.0265767903456435,1,2
1.5570589029330222,1,2
1.5970667928850162,1,3
1.0365824594937294,1,3
1.1036162411101031,1,4
0.9862024437197761,1,4
0.892367301214108,1,1
0.9108144617939615,1,3
0.9455343855279352,1,3
0.9006574852282938,1,4
1.3112156325196338,1,4
1.254686454935836,1,3
1.1266149383718584,1,2
0.8976015530588484,1,4
1.2282609141884677,1,1
0.9237689171031889,1,4
1.0708293009056433,1,4
0.945439824407913,1,1
1.0674943475614782,1,3
1.8300980301855816,1,4
0.902046103149587,1,1
0.8972534022241234,0,2
0.907366045933486,1,1
0.8779736568230874,1,1
0.896458638241711,1,2
0.9871232942086863,1,1
1.086216646169305,1,4
0.9203996380547323,1,2
0.8668682897978215,1,1
1.1335551043393934,1,2
0.9442356364634179,1,1
1.0192439692391417,1,2
1.2772920428715224,1,2
1.3013683242206753,1,3
1.1817228236459414,1,1
1.3016813462518257,1,3
1.2535946917942056,1,2
1.6135017007782153,0,2
1.1570063853532702,1,3
0.9574359482776345,1,4
1.1035734693332415,1,3
1.290432059115119,1,3
1.5785765056016317,1,2
1.1465641071999926,1,3
0.9625375023397282,1,4
1.1805686985326247,1,4
1.0125886596970304,1,2
1.2311229025181092,1,3
1.0955546364493784,1,4
1.0416558208789866,1,3
1.1321463247286374,1,3
1.4233487908395546,1,4
1.0392531809793581,1,1
1.2253015704372956,1,4
