rt,response,stim
1.6248643950711994,1,2
0.9453314139900613,1,1
2.2599732592061628,0,3
2.0758024203169043,1,4
0.9638093554167426,1,1
1.214350559961531,1,1
1.029909661216152,1,4
1.5848215011192224,1,1
1.1209029466899665,1,1
1.2195554406989686,1,4
1.9153873229115561,1,2
0.9153860576116131,1,1
1.4700400014025945,1,2
2.349820851422919,1,2
2.133325659973707,1,3
1.3658765267355193,1,2
1.2137478168006055,1,1
1.3097318030067981,1,2
1.469666333128771,1,4
0.8936165923041699,1,1
1.2401377013993624,1,2
1.6001182045129099,1,4
1.2880914857778407,1,3
0.9835237459756172,1,3
1.8907505910410691,1,1
1.1545720069389063,1,3
1.6504616268466634,1,2
1.3305423505335057,1,3
2.2023910265797895,1,2
1.5059651059273165,1,3
1.0263923049169534,1,3
1.0049143695032399,1,4
0.8956196071758313,1,1
0.8181186486726801,1,4
0.9562984760214022,1,4
1.1349547789741337,1,3
0.8419812049451139,1,4
1.5165323524397536,1,2
0.9164519916976133,1,4
0.9511864265750773,1,3
1.1296983527008706,1,1
0.9558890955395327,1,4
0.9989776065522165,1,1
0.8570103720703628,1,4
1.0361824371611874,1,1
0.8947814034636394,1,3
0.8652297025237203,1,1
0.8200358826525189,1,4
0.830168260159553,1,1
0.9527817754351418,1,2
1.179827363419463,0,1
1.0113439146171004,1,2
0.9423705912431615,1,4
0.8734368571967934,1,3
1.0116193765716162,1,2
0.8542824501946598,1,1
0.8968086736385885,1,2
1.0354361323061312,1,1
0.7981118800071272,1,2
1.0087755682325223,1,2
0.8593814154937718,1,1
1.6858645053598593,1,3
1.021552649413934,1,3
0.8406477225562412,1,2
1.2192410541501886,1,3
0.7711747621306131,1,4
0.8296530544721463,1,2
0.7843022789493261,1,2
0.6988949809001497,1,3
0.9730000200524955,1,3
0.783678420677461,1,4
0.9068717412446858,1,4
0.7734224987216294,1,1
0.9919437662283599,1,3
0.898489610883189,1,3
0.7492114559008769,1,4
0.8473766149654693,1,4
0.7705293195231206,1,3
1.11711381004352,1,2
0.9115948124617717,1,4
0.9702164649734186,1,1
0.8204849547328195,1,4
1.199468196993621,1,4
0.743412299101692,1,1
0.8661302830387285,1,3
0.7963325048385741,1,4
3.254830576805034,1,1
1.871150216064052,1,2
1.1032625171683321,1,1
1.0263093844932882,1,1
1.2525225077461073,1,2
0.8999048586811114,1,1
0.9670688396709011,1,4
1.0331174254788493,1,2
0.8278243746190128,1,1
0.9588919620200613,1,2
0.9293899056538066,1,1
0.9561308876163821,1,2
1.022226841054362,1,2
1.1769304213994474,1,3
0.8573601700445579,1,1
0.852009345391707,1,3
0.9585198157201376,1,2
0.8571532870791998,1,2
0.7792969450274541,1,3
0.6785248488558864,1,4
0.7373780517154955,1,3
0.74759910967623,1,3
0.9821426583384891,0,2
0.8323679343084223,1,3
0.7954265492935519,1,4
0.8535562347733503,1,4
1.0966640090646251,1,2
1.0107335525717644,1,3
0.6378679683966766,1,4
0.6721532349438348,1,3
0.634604688237232,1,3
0.6772564052171219,1,4
0.9364194988920644,1,1
0.7708684727131185,1,4
