rt,response,stim
2.7101641214758274,0.0,2
2.070164074686545,1.0,1
1.8381695162061078,1.0,3
1.933965726995666,1.0,4
1.3339111066179612,1.0,1
1.1418703573981475,1.0,1
1.5044225100100448,1.0,4
1.4803749640741444,1.0,1
1.1762649676838919,1.0,1
1.8240983874638914,1.0,4
2.2080944842891768,1.0,2
1.3840092427581112,1.0,1
2.5920766818835546,1.0,2
1.0319939732908097,0.0,2
2.090965817898905,1.0,3
2.0504102209761186,1.0,2
1.2343205863289768,1.0,1
2.0742610090310336,1.0,2
1.554676049234331,1.0,4
1.4820160839262826,0.0,1
1.674429925671575,1.0,2
1.7218506747594802,1.0,4
1.6342086893164378,1.0,3
2.7543635095480568,0.0,3
1.2335557646947564,1.0,1
nan,nan,3
1.7587626249078312,1.0,2
2.6147344762030116,0.0,3
1.191650134685915,0.0,2
1.7665803390846122,1.0,3
2.4944950470890035,1.0,3
2.1664465810881666,1.0,4
1.1583430361806677,1.0,1
1.9261593884730246,1.0,4
1.214153867415007,1.0,4
2.3100647958999616,1.0,3
1.3420442530186847,1.0,4
1.4459306191474752,1.0,2
2.1179065544201876,1.0,4
1.5503137361374684,1.0,3
1.5416981652160757,1.0,1
1.0615861963524367,1.0,4
1.3287807625201822,1.0,1
1.904137093692043,1.0,4
1.9440718543010007,1.0,1
1.2719750820469926,1.0,3
1.320248770460239,1.0,1
1.319814107439015,1.0,4
1.1836463284289493,1.0,1
1.1836171132763411,1.0,2
0.9915082124080072,1.0,1
3.034523747903222,1.0,2
1.482438062883375,1.0,4
1.233994076226736,1.0,3
1.3938820458661212,1.0,2
0.865844834870586,1.0,1
1.180894316852573,0.0,2
1.3804171052543097,1.0,1
1.7802926505082723,1.0,2
1.8041828502973658,1.0,2
1.3161778930407309,1.0,1
1.0760851061768335,1.0,3
1.59870976244747,1.0,3
1.7505645723176713,1.0,2
1.3584506931401847,1.0,3
1.35053661076563,1.0,4
1.598325288252454,1.0,2
2.894198567933927,1.0,2
1.1422216821847542,1.0,3
1.6091475161920243,1.0,3
1.104714498458634,1.0,4
1.451753614755944,1.0,4
1.2033130690670077,1.0,1
1.3555443402456149,1.0,3
1.395516939488516,1.0,3
1.1232014076704218,1.0,4
1.7415573144007794,1.0,4
1.149994296800287,1.0,3
0.9419323697111395,1.0,2
0.984088381381298,1.0,4
0.8026412281342346,1.0,1
0.9652964771503321,1.0,4
1.3277976017488982,1.0,4
1.5597109846330568,1.0,1
1.1196945364263229,1.0,3
1.234305426811261,1.0,4
1.0342512312090548,1.0,1
0.948883359622414,1.0,2
1.1834709562917851,1.0,1
1.8152213449739065,0.0,1
1.4472604275142658,1.0,2
0.9837849384057336,1.0,1
1.0579046447728615,1.0,4
1.7088954999362613,1.0,2
1.1082255806795729,1.0,1
1.3829506664042128,1.0,2
1.238769958357807,1.0,1
1.8552298848990176,1.0,2
2.375127804476506,1.0,2
2.0951379211819585,1.0,3
1.2176484125284333,1.0,1
1.0012435902917787,1.0,3
1.2838000006686343,1.0,2
1.291652596768472,0.0,2
1.483632226671034,1.0,3
1.7880802291310829,1.0,4
1.6440200542747334,1.0,3
1.2513801158347633,1.0,3
0.9716503024537815,1.0,2
0.9020574500864313,1.0,3
1.2570389765987784,1.0,4
0.9688902058023814,1.0,4
0.8831514765151951,1.0,2
1.4696206531698408,1.0,3
1.1500911973889743,1.0,4
0.9020354597651021,1.0,3
0.9761043727303331,1.0,3
1.8350310602963873,1.0,4
1.1946682228353893,1.0,1
1.1624297288271919,1.0,4
