subj_idx,SS_CP,SS_US,SS_CS
18439,3.66782927163,3.96195987,3.96195987
18911,3.66782927163,3.96195987,3.96195987
18941,2.94468625245,3.96195987,3.66782927163
19582,2.94468625245,3.96195987,3.66782927163
19621,-0.192198423915,1.3981488654,0.861454598591
19679,2.80133620192,3.96195987,3.33500058186
19718,1.13531557089,3.09546680029,2.46850751215
20054,-0.192198423915,1.3981488654,0.861454598591
20126,2.80133620192,3.96195987,3.33500058186
20130,1.13531557089,3.09546680029,2.46850751215
20373,2.46850751215,3.62913118023,3.00217189209
20732,2.46850751215,3.62913118023,3.00217189209
