CS,US,CP,SS,subj_idx
1.9662290959,2.48238191128,1.8942982459,2.40758301949,18439
1.95734100474,2.47852368936,1.89477062513,2.4075394941,18911
1.52450485167,2.55323901795,1.39494534513,2.19177305628,18941
1.51584379923,2.55258876269,1.38645463641,2.1891651959,19582
1.16701664269,1.01206373192,1.34189854231,1.34759097615,19621
1.72091152949,2.05605246026,1.43133070885,2.11955139372,19679
1.97240440987,2.37224944397,1.73495314179,2.55081037679,19718
1.16413109833,1.00947468667,1.33756630795,1.34439423167,20054
1.72321915372,2.05961656026,1.43008529436,2.11364416744,20126
1.96651610179,2.36941028449,1.72912785859,2.54002275859,20130
1.55740560885,1.90881017923,1.47438220218,2.29138917038,20373
1.56141407846,1.91640686782,1.47848272987,2.29208738705,20732
