rt,response,stim
1.6662379880217486,1,2
1.189138040492253,1,1
1.116281070657351,1,3
0.9668736202365835,1,4
0.626194675788156,1,1
0.7802244701188101,1,1
0.8553563298332847,1,4
0.8099529724145214,1,1
0.7724669578701651,1,1
0.951169718399342,1,4
2.465661323182303,0,2
0.7774954384431112,1,1
0.9322607640583556,1,2
1.8229610117036827,1,2
0.8463104873371776,1,3
0.801569212747836,1,2
0.8121681566613006,1,1
1.0301658800603946,1,2
0.7453254570245917,1,4
0.7640237662840264,1,1
0.8944314406221565,1,2
1.15260749654135,1,4
0.7530747819314456,1,3
0.7552407789639801,1,3
0.6302645816758741,0,1
0.9048994502336427,1,3
0.9634842863729318,1,2
0.8301373473518652,1,3
0.7842028684772231,1,2
0.9233249573890134,1,3
0.9174551958772099,1,3
1.0321684611221826,1,4
0.8272334067469274,1,1
0.8056439221572873,1,4
0.832279230527547,1,4
0.8111329452103746,1,3
0.8136399471291043,1,4
0.7999961392692967,1,2
1.1149734631603678,1,4
0.7894802147598057,1,3
0.8237127776405941,1,1
0.7705841159290685,1,4
0.645342452659861,1,1
0.927878707497257,1,4
0.7385982925493408,1,1
0.748613447720345,1,3
0.7992634443780844,1,1
0.7382859884764912,1,4
0.7330717647332676,1,1
1.1668380739124586,1,2
0.7511286520198155,1,1
0.8899674595108991,1,2
0.8208362535006017,1,4
0.8553440067107658,1,3
0.8019760201591453,1,2
2.0044827293145318,1,1
0.8445559057277023,1,2
0.6791647220425148,1,1
0.9379110464610676,1,2
0.8365208540262756,1,2
0.8311426999712239,1,1
0.8490777215943126,1,3
0.8443915332632059,1,3
0.6549880946331541,1,2
0.7853629053065561,1,3
0.6121054909799568,1,4
0.6063086485442,1,2
0.8251537768451271,1,2
1.8834169832698535,1,3
0.7073876076974557,1,3
0.6624895013001151,1,4
0.665221904765076,1,4
0.5633178318148566,0,1
0.8783058967042052,1,3
1.0324051180077731,1,3
0.7316659813245678,1,4
0.7016289528037305,1,4
0.7523990645613594,1,3
0.6990260489005777,1,2
0.8220157901596394,0,4
0.9366121075604497,1,1
1.8032277917773172,1,4
0.7792950143375492,1,4
1.141738096638619,1,1
0.8720568374897084,1,3
0.8190151204139511,1,4
0.7576645870235552,1,1
0.8958452399256203,1,2
2.5547841797615547,1,1
0.6509322173128567,1,1
0.9091073317781593,1,2
0.6642029145973538,1,1
0.8026960219640387,1,4
0.7733988680497532,1,2
1.5758714616099496,1,1
0.9995062225534639,1,2
0.7385473968815859,1,1
0.7332324044677989,1,2
0.863778956814258,1,2
0.7143677225299143,1,3
0.6770963865806152,1,1
0.703171863658099,1,3
0.7938148527159683,1,2
1.605224323737275,1,2
0.7722957185060295,1,3
0.8075333332217269,1,4
0.7535295042412145,1,3
0.9005393659472247,1,3
1.167313899230976,1,2
0.9992399083612327,1,3
0.7374841944670152,1,4
0.6999511162430281,1,4
0.7590586729406823,1,2
0.6971557646934343,1,3
0.667908119832191,1,4
0.6229012198464261,1,3
0.6573759138823334,1,3
0.6275989251985266,1,4
0.7828269529236422,1,1
0.6812874242191356,1,4
